MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
04/01/2025 11:00:00 - 04/01/2025 12:00:00,BZN|DK2,Without sequence,128.29,,
04/01/2025 12:00:00 - 04/01/2025 13:00:00,BZN|DK2,Without sequence,130.03,,
04/01/2025 13:00:00 - 04/01/2025 14:00:00,BZN|DK2,Without sequence,129.85,,
04/01/2025 14:00:00 - 04/01/2025 15:00:00,BZN|DK2,Without sequence,136.4,,
04/01/2025 15:00:00 - 04/01/2025 16:00:00,BZN|DK2,Without sequence,138.73,,
04/01/2025 16:00:00 - 04/01/2025 17:00:00,BZN|DK2,Without sequence,142.01,,
04/01/2025 17:00:00 - 04/01/2025 18:00:00,BZN|DK2,Without sequence,151.24,,
04/01/2025 18:00:00 - 04/01/2025 19:00:00,BZN|DK2,Without sequence,143.86,,
04/01/2025 19:00:00 - 04/01/2025 20:00:00,BZN|DK2,Without sequence,137.97,,
04/01/2025 20:00:00 - 04/01/2025 21:00:00,BZN|DK2,Without sequence,129.5,,
04/01/2025 21:00:00 - 04/01/2025 22:00:00,BZN|DK2,Without sequence,122.85,,
04/01/2025 22:00:00 - 04/01/2025 23:00:00,BZN|DK2,Without sequence,118.29,,
04/01/2025 23:00:00 - 05/01/2025 00:00:00,BZN|DK2,Without sequence,109.5,,
05/01/2025 00:00:00 - 05/01/2025 01:00:00,BZN|DK2,Without sequence,113.85,,
05/01/2025 01:00:00 - 05/01/2025 02:00:00,BZN|DK2,Without sequence,100.33,,
05/01/2025 02:00:00 - 05/01/2025 03:00:00,BZN|DK2,Without sequence,93.61,,
05/01/2025 03:00:00 - 05/01/2025 04:00:00,BZN|DK2,Without sequence,93.88,,
05/01/2025 04:00:00 - 05/01/2025 05:00:00,BZN|DK2,Without sequence,89.39,,
05/01/2025 05:00:00 - 05/01/2025 06:00:00,BZN|DK2,Without sequence,83.55,,
05/01/2025 06:00:00 - 05/01/2025 07:00:00,BZN|DK2,Without sequence,83.93,,
05/01/2025 07:00:00 - 05/01/2025 08:00:00,BZN|DK2,Without sequence,81.52,,
05/01/2025 08:00:00 - 05/01/2025 09:00:00,BZN|DK2,Without sequence,85.07,,
05/01/2025 09:00:00 - 05/01/2025 10:00:00,BZN|DK2,Without sequence,89.16,,
05/01/2025 10:00:00 - 05/01/2025 11:00:00,BZN|DK2,Without sequence,83.93,,
05/01/2025 11:00:00 - 05/01/2025 12:00:00,BZN|DK2,Without sequence,89.6,,
05/01/2025 12:00:00 - 05/01/2025 13:00:00,BZN|DK2,Without sequence,82.34,,
05/01/2025 13:00:00 - 05/01/2025 14:00:00,BZN|DK2,Without sequence,78.4,,
05/01/2025 14:00:00 - 05/01/2025 15:00:00,BZN|DK2,Without sequence,68,,
05/01/2025 15:00:00 - 05/01/2025 16:00:00,BZN|DK2,Without sequence,51.82,,
05/01/2025 16:00:00 - 05/01/2025 17:00:00,BZN|DK2,Without sequence,51.03,,
05/01/2025 17:00:00 - 05/01/2025 18:00:00,BZN|DK2,Without sequence,66.38,,
05/01/2025 18:00:00 - 05/01/2025 19:00:00,BZN|DK2,Without sequence,63.84,,
05/01/2025 19:00:00 - 05/01/2025 20:00:00,BZN|DK2,Without sequence,51.28,,
05/01/2025 20:00:00 - 05/01/2025 21:00:00,BZN|DK2,Without sequence,36.85,,
05/01/2025 21:00:00 - 05/01/2025 22:00:00,BZN|DK2,Without sequence,36.86,,
05/01/2025 22:00:00 - 05/01/2025 23:00:00,BZN|DK2,Without sequence,34.61,,
05/01/2025 23:00:00 - 06/01/2025 00:00:00,BZN|DK2,Without sequence,28.14,,
06/01/2025 00:00:00 - 06/01/2025 01:00:00,BZN|DK2,Without sequence,27.52,,
06/01/2025 01:00:00 - 06/01/2025 02:00:00,BZN|DK2,Without sequence,23.76,,
06/01/2025 02:00:00 - 06/01/2025 03:00:00,BZN|DK2,Without sequence,19.62,,
06/01/2025 03:00:00 - 06/01/2025 04:00:00,BZN|DK2,Without sequence,16.76,,
06/01/2025 04:00:00 - 06/01/2025 05:00:00,BZN|DK2,Without sequence,15.56,,
06/01/2025 05:00:00 - 06/01/2025 06:00:00,BZN|DK2,Without sequence,14.88,,
06/01/2025 06:00:00 - 06/01/2025 07:00:00,BZN|DK2,Without sequence,25.01,,
06/01/2025 07:00:00 - 06/01/2025 08:00:00,BZN|DK2,Without sequence,30.53,,
